authority_name	first_name	last_name	county_name	fipsstreet	city	address_state	zip_code	po_street	po_city	po_state	po_zip_code	reg_authority_name	reg_first	reg_last	reg_street	reg_city	reg_state	reg_zip_code	reg_po_street	reg_po_city	reg_po_state	reg_po_zip_code	reg_phone	reg_fax	reg_email	reg_website	reg_hours	phone	fax	email	website	hours	voter_state	source	review
Supervisor of Elections	Pam	Carpenter	Alachua	001	111 Southeast 1st Ave.	Gainesville	FL	32601			FL							FL				FL							(352) 374-5252	(352) 374-5264	pwc@alachuacounty.us	http://www.votealachua.com/		FL	State	
Supervisor of Elections	Nita	Crawford	Baker	003	32 North 5th Street, Suite A	Macclenny	FL	32063	P O Box 505	Macclenny	FL	32063						FL				FL							(904) 259-6339	(904) 259-2799	vote@bakercountyfl.org	http://www.bakerelections.com/		FL	State	
Supervisor of Elections	Mark	Andersen	Bay	005	830 West 11th Street	Panama City	FL	32401			FL							FL				FL							(850) 784-6100	(850) 784-6141	baysuper@bayvotes.org	http://www.bayvotes.org/		FL	State	
Supervisor of Elections	Terry	Vaughan	Bradford	007	945 N Temple Ave. Ste C	Starke	FL	32091	P O Box 58	Starke	FL	32091						FL				FL							(904) 966-6266	(904) 966-6165	bradsoe@bradford-co-fla.org	http://www.bradfordelections.com/		FL	State	
Supervisor of Elections	Lori	Scott	Brevard	009	2725 Judge Fran Jamieson Way, Bldg C	Melbourne	FL	32941	P O Box 410819	Melbourne	FL	32940						FL				FL							(321) 264-6740	(321) 264-6741	soe@votebrevard.com	http://www.votebrevard.com/		FL	State	
Supervisor of Elections	Brenda	Snipes	Broward	011	115 S. Andrews Avenue, Room 102	Fort Lauderdale	FL	33302	P O Box 029001	Fort Lauderdale	FL	33301						FL				FL							(954) 357-7050	(954) 357-7070	elections@browardsoe.org	http://www.browardsoe.org/		FL	State	
Supervisor of Elections	Margie	Laramore	Calhoun	013	20859 Central Avenue East, Room 117	Blountstown	FL	32424			FL							FL				FL							(850) 674-8568	(850) 674-2449	soecalco@fairpoint.net	http://www.votecalhoun.com/		FL	State	
Supervisor of Elections	Paul	Stamoulis	Charlotte	015	226 Taylor Street, Unit 120	Punta Gorda	FL	33950			FL							FL				FL							(941) 833-5400	(941) 833-5422	soe@charlottevotes.com	http://www.charlottevotes.com/		FL	State	
Supervisor of Elections	Susan	Gill	Citrus	017	120 North Apopka Avenue	Inverness	FL	34450			FL							FL				FL							(352) 341-6740	(352) 341-6749	vote@elections.citrus.fl.us	http://www.votecitrus.com/		FL	State	
Supervisor of Elections	Chris	Chambless	Clay	019	500 N. Orange Ave.	Green Cove Springs	FL	32043	P O Box 337	Green Cove Springs	FL	32043						FL				FL							(904) 269-6350	(904) 284-0935	cchambless@clayelections.com	http://www.clayelections.com/		FL	State	
Supervisor of Elections	Jennifer	Edwards	Collier	021	Rev Dr MLK Bldg, 3295 Tamiami Trl E,	Naples	FL	34112			FL							FL				FL							(239) 252-8450	(239) 774-9468	supervisorofelections@colliergov.net	http://www.colliervotes.com/		FL	State	
Supervisor of Elections	Elizabeth	Horne	Columbia	023	971 W. Duval Street, Suite 102	Lake City	FL	32055			FL							FL				FL							(386) 758-1026	(386) 755-7233	election@votecolumbia.com	http://www.votecolumbia.com/		FL	State	
